	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
Ccrn4l	0	-1.0	0	0	0	-1.0	0	0	0	0	0
Cd164	0	0	0	0	0	0	0	-1.0	0	0	0
Cd226	0	1.0	0	0	0	0	0	0	0	0	0
Cd247	0	0	0	0	0	0	0	0	0	-1.0	0
Cd27	0	0	0	0	0	1.0	0	0	0	0	0
Cd2ap	0	0	0	0	0	1.0	0	0	0	0	0
Cd36	0	-1.0	0	0	0	0	0	0	0	0	0
Cd40	0	0	0	-1.0	0	0	0	0	0	0	0
Cd52	0	1.0	0	0	0	0	0	0	0	0	0
Cd55	0	0	-1.0	0	0	0	0	-1.0	0	0	0
Cd59a	0	0	0	-1.0	0	0	0	0	0	0	0
Cd6	0	0	0	0	0	0	1.0	0	0	0	0
Cd68	0	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Cd69	0	1.0	0	0	0	0	0	0	0	0	0
Cd7	0	0	0	0	0	-1.0	0	0	-1.0	0	0
Cd72	0	1.0	0	0	0	0	1.0	0	0	0	0
Cd82	0	0	0	-1.0	-1.0	-1.0	0	-1.0	0	-1.0	0
Cd9	0	0	0	0	0	-1.0	0	0	0	0	0
Cdc14a	0	-1.0	0	0	0	0	0	-1.0	0	0	-1.0
Cdc42se1	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Cdh23	0	-1.0	0	0	-1.0	0	0	-1.0	0	-1.0	-1.0
Cdk14	0	0	-1.0	0	0	0	0	-1.0	0	0	0
Cdk6	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Cdk8	0	0	0	0	0	0	1.0	0	0	0	0
Cdkl3	0	0	0	0	0	0	0	1.0	0	0	0
Cdkn1a	0	0	0	0	0	0	0	0	0	-1.0	0
Cdkn1c	0	0	-1.0	-1.0	0	0	0	-1.0	0	0	-1.0
Cdon	0	0	0	0	0	0	0	1.0	0	0	0
Cela1	0	0	0	0	0	0	1.0	0	0	0	0
Celf2	0	-1.0	0	0	0	0	0	0	0	0	0
Celsr1	0	0	0	0	0	1.0	0	0	0	0	0
Celsr2	0	1.0	0	0	0	0	0	0	0	0	0
Cenpf	0	1.0	0	0	0	0	0	0	0	0	0
Cenpn	0	1.0	0	0	0	0	0	0	0	0	0
Cep290	0	1.0	0	0	0	0	0	0	0	0	0
