	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
Tspan14	0	0	0	0	0	0	0	-1.0	0	0	0
Tspan2	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Tspan31	0	0	0	0	0	0	0	1.0	0	0	0
Tspan4	1.0	0	0	0	0	0	1.0	0	0	0	0
Tssk6	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Ttc21b	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Ttc27	0	1.0	0	0	0	1.0	1.0	0	0	0	0
Ttc28	0	1.0	0	0	0	0	0	0	0	0	0
Ttc3	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Ttc39c	0	0	-1.0	-1.0	0	0	0	-1.0	0	-1.0	0
Ttyh1	1.0	1.0	0	0	0	0	1.0	0	0	0	0
Ttyh3	0	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Tuba8	0	0	0	0	0	0	0	1.0	0	0	0
Tusc2	0	0	-1.0	-1.0	0	0	0	-1.0	0	0	0
Tusc3	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Txk	0	0	0	0	-1.0	0	0	0	0	-1.0	0
Txnip	1.0	0	0	0	0	0	0	0	0	0	0
Txnrd1	0	0	0	-1.0	-1.0	0	0	0	0	-1.0	-1.0
Tyrobp	0	0	-1.0	0	0	0	0	0	0	0	0
Ubac2	0	-1.0	0	-1.0	-1.0	-1.0	0	-1.0	0	-1.0	0
Ubash3a	0	0	0	0	0	0	1.0	0	0	0	0
Ubash3b	0	0	0	0	0	1.0	0	0	0	0	0
Ube2e2	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Ube2o	0	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Ube2s	0	0	-1.0	-1.0	0	-1.0	0	0	0	-1.0	-1.0
Ube2v2	0	0	0	0	0	0	1.0	0	0	0	0
Ube2z	0	0	0	-1.0	0	0	0	0	0	0	-1.0
Ubl3	0	-1.0	0	0	0	-1.0	0	0	0	0	0
Ubr2	0	0	0	0	0	0	0	-1.0	0	0	0
Ubtd2	0	-1.0	0	0	0	0	0	0	0	0	0
Uck2	0	0	0	0	0	0	1.0	1.0	0	0	0
Ucp2	0	0	0	0	0	0	1.0	1.0	0	0	0
Ucp3	0	0	0	-1.0	-1.0	0	0	-1.0	0	0	-1.0
Ugcg	0	-1.0	0	0	0	-1.0	0	0	0	-1.0	0
Ugp2	0	0	0	0	0	1.0	1.0	0	0	0	0
Unc119b	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Unc13d	0	0	0	0	0	0	0	1.0	0	0	0
Unc79	0	0	0	0	0	1.0	0	0	0	0	0
Upp1	0	-1.0	0	0	0	0	0	0	0	0	0
Usf1	0	0	0	0	0	0	0	0	0	-1.0	0
Usp3	1.0	1.0	0	0	0	0	0	0	0	0	0
Ust	0	-1.0	0	0	0	0	0	0	0	0	0
Utp14b	0	0	0	0	0	0	0	1.0	0	0	0
Vangl2	0	0	0	0	0	0	1.0	0	0	0	0
Vegfa	0	0	0	0	0	0	0	-1.0	0	0	0
Vgll4	0	0	0	0	0	0	0	-1.0	0	0	0
Vhl	0	0	-1.0	0	-1.0	0	0	-1.0	0	0	-1.0
Vps54	1.0	1.0	0	0	0	1.0	0	0	0	0	0
Vrk1	1.0	0	0	0	0	0	1.0	0	0	0	0
Vti1a	0	0	0	0	0	0	0	1.0	0	0	0
Wbp2	0	0	-1.0	-1.0	-1.0	0	0	-1.0	0	0	0
Wdfy2	0	0	0	0	0	0	1.0	1.0	0	0	0
Wdr37	0	0	0	0	0	0	0	0	0	-1.0	-1.0
Wdr41	0	0	0	0	0	0	0	1.0	0	0	0
Wdr46	1.0	0	0	0	0	0	0	0	0	0	0
Wdr59	0	0	0	0	0	0	1.0	0	0	0	0
Wdr60	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Whrn	0	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Wipf1	0	0	0	0	0	0	0	1.0	0	0	0
Wwc1	0	-1.0	0	0	0	0	0	0	0	0	0
Ypel2	0	1.0	0	0	0	0	0	0	0	0	0
Ywhah	0	0	-1.0	0	0	0	0	0	0	0	0
Zbtb7c	0	0	0	-1.0	0	0	0	-1.0	0	0	0
Zcchc10	0	0	0	0	0	0	1.0	0	0	0	0
Zcwpw1	0	1.0	0	0	0	0	0	0	0	0	0
Zdhhc18	0	0	-1.0	-1.0	-1.0	0	0	-1.0	0	-1.0	0
Zdhhc21	0	1.0	0	0	0	0	1.0	0	0	0	0
Zeb1	0	-1.0	0	0	0	0	0	0	0	0	0
Zfp1	1.0	1.0	0	0	0	0	1.0	0	0	0	0
Zfp438	0	0	0	0	0	1.0	0	0	0	0	0
Zfp516	0	1.0	0	0	0	0	0	0	0	0	0
Zfp521	0	0	0	0	0	0	0	0	0	-1.0	0
Zfp523	0	0	0	0	0	-1.0	0	0	0	-1.0	0
Zfp574	0	0	-1.0	0	0	0	0	0	0	0	0
Zfp59	0	0	0	0	-1.0	0	0	0	0	0	0
Zfp646	0	0	-1.0	0	0	0	0	0	0	0	0
Zfp658	0	0	0	0	0	0	0	-1.0	0	0	0
Zfp703	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Zfp704	0	1.0	0	0	0	0	1.0	0	0	0	0
Zfp810	0	0	0	0	0	0	0	0	0	-1.0	0
Zfp92	0	0	0	0	0	0	1.0	1.0	0	0	0
Zmat4	0	0	0	0	0	0	0	0	0	-1.0	0
Zmiz1	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Zmym6	0	0	0	0	0	0	1.0	0	0	0	0
Znf512b	0	0	0	0	0	0	1.0	1.0	0	0	0
Znrf1	0	1.0	0	0	0	0	1.0	0	0	0	0
Zpbp2	0	0	0	0	0	0	0	1.0	0	0	0
Zscan2	0	0	-1.0	0	-1.0	0	0	0	0	0	0
Zscan21	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Zswim3	0	0	-1.0	-1.0	-1.0	0	0	0	0	0	0
Zswim6	0	0	0	0	0	-1.0	0	0	-1.0	0	0
