	Cebpb	Creb1	Ebf1	Elf2	Esr1	Ets1	Etv1	Etv3	Fli1	Fosl2	Hey1	Hinfp	Hivep1	Insm1	Irf4	Klf14	Klf5	Klf7	Maf	Mtf1	Mxi1	Nfe2l2	Nfkb1	Pou2f2	Pparg	Prdm1	Rela	Stat3	Taf1	Tbx3	Zbtb33	Zbtb6	Zbtb7a
2810001g20rik	0	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0
2810025m15rik	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0
2810417h13rik	0	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0
2810454h06rik	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	-0.5
2810459m11rik	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0	-0.5
2810474o19rik	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5
2900026a02rik	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5
2900060b14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
2900097c17rik	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
3110002h16rik	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0.5
3110040n11rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0
3110043o21rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0	0	0	0	0
3110070m22rik	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5
4921507p07rik	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0
4930402h24rik	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
4930432k21rik	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0
4930451c15rik	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
4930452b06rik	0	0	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0
4930453n24rik	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
4930513n10rik	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0
4930539j05rik	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0.5	0	0.5	0	0.5
4930563e22rik	0	-0.5	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
4930594c11rik	0	0	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	-0.5	0	0
