	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17pos_SI_EAE	IL17neg_SI_EAE	IL17neg_SI_SS	IL17neg_SI_mock
Rab23	1201.193713	1567.42124	1115.490801	1025.178736	955.3202688	998.1183962	1154.858642	1086.286782	1143.196798
Rab24	722.4075181	777.8561299	859.2248898	783.4868047	755.0401135	910.5665546	624.6299573	691.8493961	683.9928727
Rab25	0	0	0	5.822569348	3.240105411	10.03391475	7.307148675	0	1.404247713
Rab26	100.1673656	135.0863839	60.24106205	47.34390418	144.9009484	76.6421289	63.7362731	55.15540791	67.47047938
Rab26os	1244.339003	1172.254708	605.1878356	1323.302244	2276.091676	2559.838725	2063.736946	1266.957663	983.9254315
Rab27a	1536.819277	1412.700756	1196.97429	449.2354288	561.2438397	619.9232394	650.7223722	503.2009567	546.1015846
Rab27b	0	3.707797387	0	119.6109207	292.8653418	274.8307398	92.06629701	20.03669629	26.9238192
Rab28	353.6369249	394.6900458	349.3797488	236.7287287	275.012859	380.3197148	285.0145301	280.5921312	232.0098758
Rab2a	3594.94415	3347.675989	2925.018386	4478.170072	5308.716609	5214.562568	3737.608324	4191.113849	3734.643556
Rab2b	572.3439858	516.4870276	420.0174717	975.8402282	958.9465822	667.6412504	679.0027384	894.7155536	835.5273893
Rab30	0	0	0	57.65159479	32.08158342	24.83745373	0	59.55484259	19.31113876
Rab31	42.08860826	33.02457051	17.39642638	51.93577751	23.2195126	26.00850744	14.26113251	24.98476882	47.96095757
Rab32	25.25316495	23.05369057	47.66493381	45.07246964	18.3931982	22.4387123	21.11744622	24.16109512	47.1045119
Rab33a	0	0	0	0	13.25497668	0	35.87145713	2.660103418	2.55317766
Rab33b	565.0201702	480.2345156	549.8627863	792.3775646	775.0403067	681.5952744	843.2685286	866.0942765	675.227983
Rab34	0	8.358743236	19.5695722	32.95687311	3.334477413	86.05137241	3.007991299	33.12474412	43.35444396
Rab35	554.0129537	407.986277	499.2237805	661.9908711	651.0170188	572.8562792	615.2058396	696.910201	759.0468522
Rab36	0	1.095356938	0	2.355695996	1.310882342	1.353174253	0	0	17.04392263
