	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17neg_SI_EAE	IL17neg_SI_mock	IL17neg_SI_SS
Clic6	4.811952535	4.811952535	4.811952535	5.672995984	4.811952535	5.659813768	5.083857635	4.811952535	5.084008515
Clint1	13.85861474	13.6844239	13.5610191	14.04794273	14.32821302	14.49936855	13.50673553	13.79543621	13.66074622
Clip1	11.92062014	11.7004713	12.02251524	12.43419268	12.37907647	12.29547257	12.28989981	12.44411816	12.26000753
Clip2	7.395227813	8.670336842	7.477699927	7.748992079	7.649368427	7.035008747	7.334215219	7.885705342	7.13686412
Clip3	5.560474969	6.081030706	6.298415971	7.473322317	7.852906918	7.477483403	6.73924348	7.520548503	6.51807166
Clip4	4.811952535	4.811952535	4.811952535	5.390651692	5.659133632	5.704301039	4.811952535	5.791763113	5.473526814
Clk1	14.61071134	14.70902347	14.99417094	15.61045991	15.33312273	15.61439293	15.67677921	15.51391701	15.83578336
Clk2	10.5155269	10.28064725	10.20908447	9.998647873	10.06358486	9.960154922	10.18772585	10.31825839	10.07188513
Clk3	11.10687185	11.15748561	11.0534046	11.77145555	11.79869486	12.02486179	11.74457296	11.85454959	11.72751812
Clk4	12.66390176	12.68039687	12.75404238	13.30223396	13.22432556	13.29858458	13.29939688	13.12092751	13.3700596
Clmn	4.811952535	5.44872976	5.449786483	5.457895318	5.616779523	6.24239802	4.811952535	4.811952535	5.084008515
Clmp	4.811952535	5.668531494	5.590049196	7.222821607	7.890284357	6.750121889	5.739211149	7.149440347	6.810781013
Cln3	9.656384649	9.538851205	9.826853324	7.547561577	7.808000534	7.430647098	7.888633176	8.110651857	8.008365802
Cln5	10.86110098	11.09465471	11.03689179	11.0976915	10.82418496	11.00557693	11.15635897	11.37187644	11.33231231
Cln6	8.195726459	7.758930502	7.67180394	7.482824415	7.264083338	7.458940487	7.306249841	8.232069849	6.965836001
Cln8	7.387632569	7.570953607	7.097117402	8.276791666	8.662097589	8.523473077	8.451782389	8.797013842	8.367617228
Clnk	5.425365606	5.49884104	5.706930371	6.403382404	7.110441872	6.290364381	6.023873728	6.553579141	6.75461992
Clns1a	10.56711205	10.71798507	10.25375385	10.07726709	9.752611142	9.892671552	10.37992645	9.863128867	10.09851306
Clock	11.85855078	11.96047951	12.00074194	12.11433626	11.82747041	11.90602916	11.58077045	11.3180083	11.56765931
Clp1	9.88354086	9.319495831	9.825373687	10.38600533	10.41715082	10.70449503	10.38641556	10.34944365	10.712251
