	Dmrta1	E2f7	Ebf1	Egr2	Egr3	Elk3	Foxk1	Ikzf1	Klf8	Maz	Mlx	Mzf1	Nfyb	Nr3c1	Pparg	Runx2	Tfap4	Tfeb	Zbtb14	Zbtb7b	Zfp143
Enpp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Entpd3	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0
Epb4.1	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	-1.5	-1.5	-1.5
Eps8	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	0
Etv1	0	0	0	0	0	-0.5	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	0
Evi5	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam109b	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5
Fam69a	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam71b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5
Fam89a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	1.5	0
Fasn	0	0	0	-1.5	0	-1.5	0	0	0	-1.5	0	0	0	0	0	0	0	0	-1.5	-1.5	0
Fdps	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	-1.5
Fgf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Fhit	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	-0.5
Fhl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Fkbp1a	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	1.5	0	0	1.5	0
Foxk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	1.5	1.5
Foxp2	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Frmd8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Fry	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	0	0	1.5	0	1.5	0	1.5
Fus	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	-1.5	-1.5	-1.5
Gadd45a	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
Galm	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ggta1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0
Glipr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
