	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Arhgef15	1.40997647006	1.03664213743	1.20249642946	1.04672953131	0.997173973602	1.47083475692
Arhgef16	0.283263312144	0.292906328298	0.37898580759	0.267596560653	0.477931727646	0.382752707722
Arhgef17	0.0415351790282	-0.847255605913	-0.288916500269	-0.264132513866	-0.292033448774	0.196957940553
Arhgef18	-0.772879279432	-1.36175383897	-0.246811466498	-1.03410597933	-0.247380604226	-1.07789813311
Arhgef19	0.266625415859	0.12906443524	0.197605111529	0.661232679894	0.0647694748036	0.116499839611
Arhgef2	0.0230812525167	-0.359014025007	-0.103483186686	0.0632116426018	0.0408185668432	-0.0197505819397
Arhgef25	0.0759778460753	0.367019922275	-0.420518238177	0.0694618739075	-0.635939460038	-0.280219974105
Arhgef26	1.04993842229	0.574100719427	0.907068993857	0.858743551275	0.719020483288	1.29360370809
Arhgef28	0.426934087809	0.153164116234	0.509050942669	1.20082867316	-0.21926877718	0.646866841619
Arhgef3	-0.370959387149	-0.908796699548	-0.269881562445	-0.11549291444	-0.133121593813	-0.469179166242
Arhgef33	0.072615493087	0.047670303504	0.0476811293872	0.0800749827287	0.0479041064363	0.0475803698848
Arhgef37	-1.67303501998	-1.31748176862	-1.17374145444	-0.950785710116	-0.551635095246	-1.37691522985
Arhgef38	0.0627302507636	0.0627270409711	0.0630705144115	0.0621481947898	0.0629331811406	0.0629062315669
Arhgef39	-1.77533451677	-1.44940305074	-1.50994381174	-0.969625186787	-1.92266764583	-1.07255981204
Arhgef4	-0.151396001299	-0.506101989829	-0.860317876111	-0.160716280235	-1.10046089308	-0.57449195332
Arhgef40	-0.383716169044	-0.000399709327372	-0.595905422703	-0.266062790417	-0.519527140068	0.198956062687
Arhgef5	0.0515642448723	0.170571694452	-0.769116152411	-0.38997286846	-1.30114186149	-0.457695969469
Arhgef6	0.0315667486604	-0.181296607096	0.167323434852	0.196508647782	-0.0892817784359	-0.0847821985358
Arhgef7	-0.410462701033	-0.107269511519	-0.554977206069	-0.324818240751	0.237558834135	-0.274900971367
Arhgef9	-0.22182023737	0.571343600484	-1.12420291413	-0.130064217444	-1.10535286547	-0.589875766001
Arid1a	-0.466372620635	-0.397704912418	-0.333034510684	-0.443462721322	-0.48922091058	-0.543569102556
Arid1b	0.0155372300882	0.0802423520479	0.17393983592	0.156150503622	0.391689622571	0.188648023407
