	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage	LI_v_SI_SPF_CCR6-ILC3	LI_v_SI_SPF_CCR6+ILC3	LI_v_SI_SPF_ILC2
Abca14	-0.13276558719835	-0.132582468433768	-0.132368085717208	-0.132480948408755	-0.132344818372094	-0.0493866532337353	-0.694033714574552	0.203142210870419	-0.139364888509452
Abca15	-0.192470158716515	-0.192585886936541	-0.1905415848864	-0.192715839925987	-0.190148592301258	-0.111358951851816	-0.662561595407097	0.0222790156673933	-0.203473079037881
Abca16	-0.0629467185890807	-0.0627253217570219	-0.0624672103021433	-0.0623129118691305	0.221183186985209	0.0171829545015257	-0.8814796015508	-0.730800365251974	0.967154465194663
Abca17	-0.482948515021804	-0.144485709981347	-1.06615996797548	-0.878137307514941	-0.264389145379625	0.276316661816434	1.0107009738802	0.289288392380446	-0.0535653554263999
Abca2	-0.580526783562856	0.066934294622026	-0.408438341770977	-0.513873793908207	-0.494715699296983	-0.171143843961375	1.03172352623781	1.04951922464589	0.461755652633244
Abca3	-0.779587738985798	-0.757438646734084	-1.13295059122427	-1.40378782564842	-0.577581283905198	-0.677781801130661	0.844481036995271	0.117889409899417	2.141847948318
Abca4	0.504997703160382	0.683005572103245	0.510900292555726	0.735947756810827	0.50315425367584	0.605171455202973	0.387665553968935	-0.112492562225969	0.121818456346178
Abca5	0.413831806742774	-0.0842174412945289	-0.350468294720021	0.777778605091883	1.08036602338726	0.733039389560563	-0.78735370953315	-0.169045753299569	0.35535201019339
Abca6	-1.11852154072871	0.955489424067474	1.96809725840148	0.99010259475937	0.439647247981382	1.22444532989841	0.028282680516013	-0.797666097591307	1.32570574837125
Abca7	-0.345265578506204	0.154849942614998	-0.225578546830467	0.187315374154183	-0.396067232199964	-0.321888291925395	0.559957143391254	0.0749611634859692	-0.20866531934372
Abca8a	1.68089166420133	1.51903454394095	0.145822733846508	0.89146360750986	0.974147219711318	0.997605744436247	0	0	0
Abca8b	1.94809741038083	1.62242732531586	1.99470402079744	1.81011199919307	1.54134735752189	1.4973870216561	-0.854852360360687	1.01485722133666	0.952687699519505
Abca9	0.01173922605232	-0.0589235409013313	1.32512205211417	0.355503337421604	-0.140476848735126	0.0196999305697118	-2.27623134064456	-0.25609452923737	0.909554301146013
Abcb10	0.310802484680651	0.0740370539188523	-0.198550050684843	-1.091814100155	0.147526387061979	-0.447353990241808	0.704883423842628	0.339470754691071	-0.526166218074912
Abcb11	-0.128338495405813	-0.128156853072042	-0.128011238588915	-0.127910432405529	-0.127899713608226	-0.0285849053387413	0.0697059450431218	-0.398045273404145	0.103223883034276
Abcb1a	0.278517456246604	1.24716950742499	-0.670666218784046	-0.144384824793637	0.660988642006935	0.338704610578101	-1.60635799291861	-1.17542207692234	-1.03276511343495
Abcb1b	0.417525814447055	1.74703102710423	0.961781926780503	2.09831592496577	1.08542599429903	2.28969363807293	-0.45187777330331	-0.853339847751263	-0.408446925225763
Abcb4	-0.315417298947358	-0.179333773518773	-0.239413998902951	-0.284820386655692	0.288861466007327	0.54017787475098	0.230422516835258	-1.83697150071114	-1.31966014261832
Abcb5	0.00623493646516054	-0.140887668664733	-0.0924479653589937	-0.140884644215463	-0.140795575897442	-0.0999973322019709	0.0634477219209616	0.0579370922499237	0.121188922057485
Abcb6	-0.352182260466543	-0.163617445367588	-0.547149382039363	-0.0807726257162204	0.272310204046951	-0.423747124742389	-0.0299955646463972	-0.756701158130609	-0.643472528707287
Abcb7	-0.364590181118614	-0.971048887754365	-0.417262446076754	-0.561048380955821	-0.245483604430181	-0.383696419515008	-0.708734048418096	-0.00121899129541164	-0.187881341663015
Abcb8	-0.464418524861876	-0.589952866302531	-0.0820828277962816	-0.458252842838076	-0.722270046624341	-0.310168788790597	-0.436211156316523	0.234110375710575	0.0886443042371184
Abcb9	-0.22386934440289	0.226848108236243	-0.00283815876326702	1.35037643653865	-0.355479609929719	0.536124400987454	-0.169336142412694	-0.3907676290078	-0.608017141641744
