	Bclaf1	Ctcf	E2f1	E2f4	E2f6	Egr1	Egr3	Ets1	Etv6	Fos	Gabpa	Irf1	Klf16	Klf4	Klf5	Klf7	Nfya	Nfyb	Nrf1	Setdb1	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Tbp
Carns1	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Casr	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Cbwd1	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Ccbl2	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	-0.25	0	0	0
Ccdc102a	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.75	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ccdc124	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ccdc137	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0
Ccdc142	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ccdc17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Ccdc58	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ccdc64b	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Ccdc80	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0
Ccl3	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25
Ccl4	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd101	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd2	0	-0.25	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0
Cd320	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Cd3g	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Cd4	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0
Cd72	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Cd81	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0
Cdc42bpa	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Cdca8	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25
Cdh5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk7	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Cdkl2	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25
Cdt1	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0
Cenpt	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Chmp6	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Chordc1	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0
Chst14	0	0	-0.25	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25
Chst3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0
Chst7	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	0	0
Cit	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0
Clcf1	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
Cldn1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Cnnm2	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0
