	Atf3	Bcl6	E2f1	Egr1	Egr2	Fos	Jun	Klf4
Capg	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Capn2	0	0	0	-0.5	0	-0.5	-0.5	-0.5
Capn3	-0.5	0	0	-0.5	0	0	-0.5	0
Capn5	0	0	0	0	0	-0.5	-0.5	-0.5
Caprin1	0	0	0	0	0	0	0	0.5
Car13	0	0	0	-0.5	0	-0.5	-0.5	-0.5
Car5b	0	0	0	0	0	0	0	-0.5
Card10	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Card11	0	0	0	0	0	0	0	0.5
Cask	0	0	0	0	0	0	0	0.5
Casp6	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
Casp7	0	0	0	0	0	0	0	0.5
Cav1	0	0	-0.5	0	0	0	0	0
Cav2	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Cbl	0	0	0	0	0	0	0	0.5
Cblb	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Cbll1	-0.5	0	-0.5	-0.5	0	-0.5	0	0
Ccbl2	0	0	0	0	0	0	0	0.5
Ccdc101	0	0	0	0	0	0	0	0.5
Ccdc109b	0	0	-0.5	0	0	-0.5	-0.5	0
Ccdc114	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Ccdc146	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Ccdc53	0	0	0	0	0	0	0	0.5
Ccdc6	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Ccdc74a	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Ccdc88a	0	0	0	0	0	0	0	0.5
Ccdc88c	0	0	0	0	0	0	0	0.5
Ccl17	-0.5	0	0	-0.5	0	0	0	0
Ccl9	0	0	0	-0.5	-0.5	0	0	0
Ccnc	0	0	0	0	0	0	0	-0.5
Ccne2	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
Ccnf	0	0	0	0	0	0	0	0.5
Ccng2	0	0	0	0	0	0	0	0.5
Ccny	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Ccr5	-0.5	0	0	-0.5	0	0	0	0
Ccrn4l	0	0	-0.5	-0.5	0	-0.5	0	0
Cct7	0	0	0	0	0	0	0	0.5
Cd109	0	0	0	0	0	-0.5	-0.5	0
Cd14	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
Cd151	0	0	-0.5	-0.5	-0.5	0	-0.5	-0.5
Cd160	0	0	0	0	-0.5	0	0	0
Cd164	-0.5	0	-0.5	0	0	-0.5	0	-0.5
Cd2ap	0	0	0	0	0	0	0	0.5
Cd300a	0	0	0	0	0	0	0	0.5
Cd37	0	0	0	-0.5	0	0	0	0
Cd44	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Cd53	0	0	-0.5	-0.5	0	-0.5	-0.5	0
