	Atf3	Egr1	Egr3	Fos	Fosb	Hic1	Irf1	Irf2	Irf7	Irf8	Jun	Jund	Klf4	Maz	Myc	Nfya	Stat1	Stat2	Zbtb7b
Aff4	-0.5	-0.5	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Agk	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Agpat2	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Agpat4	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0
Agpat9	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0
Agtrap	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Ahctf1	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5
Ahcy	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0.5	0.5	0.5
Ahi1	-0.5	-0.5	-0.5	0	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5
Ahnak	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Ahrr	0.5	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0.5	0.5	0
Ahsa1	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0
Ai413582	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Ai467606	0	0.5	0	0	0	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0
Ai504432	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Aif1	0	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0.5
Aif1l	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
Aifm1	0	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5
Aim1	0	-0.5	0	0	-0.5	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0
Aim2	0	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0.5
Aip	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Airn	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	-0.5
Ak2	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0
Akap12	-0.5	-0.5	-0.5	0	0	-0.5	-0.5	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0
Akap13	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Akap17b	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Akap2	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
Akap5	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
Akap6	0	-0.5	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Akna	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0
Akr1b10	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5
Akr1c18	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0
Akr7a5	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Alas1	0	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcam	-0.5	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Aldh3a2	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
Aldh4a1	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0
Aldob	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Alox5ap	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Alpk2	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Amica1	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0
Ammecr1l	-0.5	-0.5	-0.5	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5
Amotl1	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ampd1	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Ank	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Ank2	-0.5	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0
Ankle1	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0.5	0	0
Ankrd11	-0.5	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0
Ankrd12	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Ankrd16	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0
Ankrd26	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd27	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5
Ankrd28	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5
Ankrd33b	-0.5	0	0	-0.5	-0.5	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Ankrd39	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0
Ankrd49	-0.5	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5
Ankrd50	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5
