	Ctcf	E2f4	E2f6	Egr1	Elf1	Elf4	Fos	Ikzf1	Irf1	Irf3	Klf13	Klf4	Klf5	Klf7	Myc	Nfya	Nfyb	Nfyc	Nrf1	Pax5	Pbx3	Plagl1	Pou2f2	Rfx1	Rfx2	Rxra	Sp1	Sp2	Sp3	Sp4	Srf	Tbp	Zbtb7a	Zfp148
Cep290	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Cep63	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Cep72	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Cep78	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	0	0
Chchd6	0	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0
Chrm3	0.25	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Chst10	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst11	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Chst2	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0
Chst3	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0
Cit	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.75	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Cks1b	0	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Clcn1	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0
Clpb	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0
Clspn	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0.25	0	0
Clybl	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cmtm8	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Cmya5	0.25	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0
Cnpy2	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0
Cntrob	0	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Commd9	0.25	0.25	0.25	0.25	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Comt	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0
Coq9	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0	0.25	0	0.25	0	0	0.25	0
Cpn1	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Crtc1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Ctnnal1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cuedc2	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Cx3cl1	0.25	0.25	0	0.25	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0
Cxcl10	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	-0.75	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Cxcl9	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0
Cyb561	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyb561d1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cyb5d1	0.25	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0
Cyp7b1	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630045j12rik	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
D8ertd82e	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Dbndd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Dcaf4	0	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Dchs1	0.25	0.25	0.25	0.25	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0
