	Bach2	Bcl11b	Bcl6	Cebpg	Dmrta1	Egr2	Elf4	Eomes	Esr1	Esrra	Ets2	Foxc1	Foxj1	Foxm1	Foxo1	Glis3	Gtf3a	Irf4	Irf5	Irf7	Irf8	Jdp2	Klf12	Klf2	Klf5	Klf8	Lef1	Max	Mef2c	Mef2d	Meis3	Nr4a2	Pparg	Prdm1	Relb	Sox8	Stat3	Stat4	Stat5a	Stat5b	Tada2b	Tbx21	Tcf7	Trp53	Zbtb16	Zfhx3	Zfp287	Zfp553	Zfp57	Zfp606	Zfp646	Zfp768	Zfp827
Wwox	-1.0	-0.5	-1.0	0	-1.0	-2.0	-2.0	0	-1.0	-1.0	-2.0	-1.0	-3.0	0	-2.0	0	-1.0	-4.0	-4.0	-8.0	-8.0	0	0	0	0	0	-2.0	-1.0	0	0	-1.0	0	-0.5	-1.0	-1.0	0	-3.0	-3.0	-3.0	-3.0	-1.0	0	-1.0	0	-0.5	0	-1.0	-1.0	-0.5	-1.0	-1.0	-1.0	-1.0
Xcl1	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	2.0	2.0	0	0	0	0	0	1.0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Xpc	-3.0	-0.5	0	-1.0	-0.5	0	0	0	0	0	-2.0	-2.0	-3.0	-1.0	0	0	0	-1.0	-1.0	-2.0	-2.0	-1.0	0	0	0	0	-1.0	-1.0	-0.5	-1.0	0	0	0	-1.0	0	0	-2.0	-2.0	-2.0	-2.0	-1.0	0	-0.5	0	0	0	0	0	0	0	0	0	0
Xpr1	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylt1	-2.0	-0.5	0	0	0	0	-1.0	-2.0	0	0	-3.0	0	-1.0	-1.0	-2.0	-1.0	-2.0	-3.0	-3.0	-6.0	-6.0	-1.0	0	0	0	0	-1.0	-1.0	-0.5	-1.0	-1.0	0	0	-1.0	0	0	-3.0	-3.0	-3.0	-3.0	-1.0	-2.0	-0.5	0	-1.0	0	-2.0	-2.0	-1.0	-2.0	-2.0	-2.0	-2.0
Yaf2	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0
Ypel1	3.0	0	0	0	0	0	0	1.0	0	0	1.5	0	0	0	1.0	0	0	1.0	1.0	2.0	2.0	0	3.0	3.0	1.5	3.0	1.0	0	0.5	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	0.5	1.0	0	0	0	0	0	0	0	0	0
Ythdc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ywhah	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbp1	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb20	-3.0	-0.5	-1.0	-2.0	0	-2.0	-2.0	-3.0	-2.0	-2.0	-2.5	-2.0	-3.0	-1.0	-1.0	0	-2.0	-3.0	-3.0	-6.0	-6.0	-1.0	0	0	0	0	-2.0	-1.0	-1.0	-2.0	0	0	0	-1.0	-1.0	0	-3.0	-3.0	-3.0	-3.0	-1.0	-3.0	-1.0	0	-1.0	0	-2.0	-2.0	-1.0	-2.0	-2.0	-2.0	-2.0
Zbtb24	0	0	0	0	0	-2.0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb38	-2.0	-0.5	0	0	0	0	0	-1.0	0	0	-1.0	0	0	0	-1.0	0	0	-3.5	-3.5	-7.0	-7.0	0	0	0	0	0	-4.0	0	-1.0	-2.0	0	0	-1.0	0	0	0	-2.0	-2.0	-2.0	-2.0	-1.0	-1.0	-2.0	0	0	0	0	0	0	0	0	0	0
Zbtb42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h12a	0	0	-1.0	-1.0	-0.5	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	-1.0	-1.0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0
Zc3h12d	0	0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0	0	0	1.0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0
Zc3h7b	0	0	0	0	0	0	0	0	0	0	-2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc2	2.0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0.5	0.5	1.0	1.0	0	0	0	0	0	1.0	1.0	0.5	1.0	0	0	1.0	0	0	0	0	0	0	0	1.0	1.0	0.5	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Zdhhc13	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	2.5	5.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	2.0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc18	0	0	0	0	0	0	1.0	0	1.0	1.0	2.5	0	0	0	1.0	0	1.0	4.0	4.0	8.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	3.0	3.0	3.0	0	0	0	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Zdhhc7	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Zfhx3	0	0	0	0	0	1.0	0	0	1.0	1.0	1.5	0	0	0	1.0	0	0	0.5	0.5	1.0	1.0	0	1.0	1.0	0.5	1.0	0	1.0	0	0	0	0	0	0	0	0	2.0	2.0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.0	-4.0	-8.0	-8.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	-3.0	-3.0	-3.0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp120	-2.0	0	0	-2.0	-1.0	0	0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.0	0	0	0	0	-1.0	0	0	-1.0	0	-1.0	-1.0	-1.0	-1.0	0	-1.0	-2.5	0	0	0	0	0	0	0	0	0	0
Zfp148	0	0	0	0	0	-1.0	-1.0	0	0	0	-1.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp292	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-1.0	-3.5	-3.5	-7.0	-7.0	0	0	0	0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	-2.0	-2.0	-2.0	-2.0	0	0	-0.5	0	-0.5	0	-1.0	-1.0	-0.5	-1.0	-1.0	-1.0	-1.0
Zfp36l1	0	0	0	0	0	-2.0	-2.0	0	0	0	-1.0	-1.0	-2.0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
