	Atf3	Bcl11a	Bcl6	Egr1	Egr2	Fos	Fosb	Jun	Klf4	Rreb1	Srf
Bend6	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Bhlhe40	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bin1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bin3	0	0	0	0.5	0	0.5	0	0	0	0	0
Birc2	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Birc5	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5
Blcap	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Bmp8a	0	0	0	0	0	-0.5	0	0	0	0	0
Braf	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Brd1	0	0	0	0	0	-0.5	0	0	0	0	0
Brwd1	0	0	0	0	0	-0.5	0	0	0	0	0
Btbd16	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Btbd7	0	0	0	0	0	-0.5	0	0	0	0	0
Btg2	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Btk	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Bub1	0.5	0	0	0.5	0	0	0	0	0	0	0.5
Bub1b	0	0	0	0.5	0	0.5	0	0	0	0	0.5
C030006k11rik	0	0	0	0.5	0	0	0	0	0.5	0	0
C030046e11rik	0	0	0	0	0	-0.5	0	0	0	0	0
C130050o18rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
C1galt1c1	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
C1qbp	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
C1qtnf1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
C1qtnf9	0	0	0	0	0	-0.5	0	0	0	0	0
C2cd3	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5
C3	0	0	0	0	0	-0.5	0	-0.5	0	0	0
C530005a16rik	0	0	0	0	0	0	0	-0.5	0	0	0
Cab39l	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Cacna1c	0	0	0	0	0	-0.5	0	0	0	0	0
Cacna1d	0	-1.0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cacnb1	0	0	0	0	0	0	0	-0.5	0	0	0
Cacnb4	0	0	0	-1.0	0	-0.5	0	-0.5	0	0	0
Cacybp	0	0	0	0.5	0	0	0	0	0.5	0	0.5
Cadm4	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Camk2a	0	0	0	0	0	0.5	0	0	0	0	0
Camkk1	0	0	0	0.5	0	0.5	0	0	0	0	0.5
Camkk2	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Capg	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Capn10	0	0	0	0	0	0	0	-0.5	0	0	0
Capn2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Capn5	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Caprin1	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Car13	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Car9	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Card10	0	0	0	0	0	-0.5	0	0	0	0	0
Card11	0	0	0	0.5	0	0.5	0	0	0.5	0	0
Casc5	0.5	0	0	0.5	0	0	0	0	0.5	0	0
Casp4	0	0	0	0	0	-0.5	0	0	0	0	0
Casp7	0	0	0	0.5	0	0	0	0	0.5	0	0
Casz1	0	0	0	0	0	-0.5	0	0	0	0	0
Cav2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cbl	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Cblb	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cbr2	0	0	0	0	0	-0.5	0	0	0	0	0
Cbr3	0	0	0	0	0	-0.5	0	0	0	0	0
Cbx3	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Cbx5	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Ccbl1	0	0	0	0	0	0.5	0	0	0	0	0
Ccdc101	0.5	0	0	0.5	0	0	0	0	0.5	0	0
Ccdc109b	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Ccdc138	0.5	0	0	0	0	0	0	0	0	0	0
Ccdc146	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Ccdc15	0.5	0	0	0.5	0	0	0	0	0	0	0
Ccdc163	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Ccdc53	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5
Ccdc69	0	0	0	0.5	0	0.5	0	0	0	0	0
Ccdc80	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Ccdc86	0.5	0	0	0.5	0	0	0	0	0	0	0
Ccdc91	0	0	0	0.5	0	0	0	0	0	0	0
Ccl3	0	0	0	0.5	0	0	0	0	0	0	0
Ccl5	0	0	0	0	0	-0.5	0	0	0	0	0
Ccl6	0	0	0	0	0	0	0	-0.5	0	0	0
Ccna2	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Ccnb1	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Ccnb2	0.5	0	0	0	0	0	0	0	0	0	0
Ccnd2	0.5	0	1.0	0.5	0	0	0	0	0	0	0.5
Ccndbp1	0	0	0	0.5	0	0	0	0	0	0	0
Ccnf	0	0	0	0.5	0	0.5	0	0	0.5	0	0
Ccng2	0.5	0	0	0.5	0	0.5	0	0	1.5	0	0
Ccr1	0	0	0	0.5	0	0	0	0	0	0	0
Ccr6	0	0	0	0	0	0	0	-0.5	0	0	0
Ccr7	0	0	0	0	0	0	-0.5	0	0	0	0
Ccr9	0.5	0	0	0	1.0	0.5	0	0	0	0	0
Ccrl2	0	0	1.0	0.5	0	0	0	0	0	0	0.5
Ccrn4l	0	0	0	0	0	-0.5	0	0	0	0	0
Cd109	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cd14	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cd151	0	0	0	0	0	0	0	-0.5	0	0	0
Cd180	0	0	0	0	0	0.5	0	0	0	0	0
Cd276	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cd2ap	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5
Cd300a	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cd300e	0	0	0	0.5	0	0	0	0	0.5	0	0
Cd300lf	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Cd33	0	0	0	0	0	0.5	0	0	0	0	0.5
Cd44	0	-1.0	0	0	0	-0.5	0	-0.5	0	0	0
Cd48	0	0	0	0	0	0	0	0	0.5	0	0.5
Cd53	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cd55	0	0	0	0	0	-0.5	0	0	0	0	0
Cd63	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cd69	0	0	0	0.5	0	0.5	0	0	0	0	0.5
Cd80	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cd83	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
